Rl_g (RIFLESSIONE GRADI),	Rl_p (RIFLESSIONE PRIMI),	Rr_g (RIFRAZIONE GRADI),	Rr_p (RIFRAZIONE PRIMI)
191,				0,				177,				39
195,				3,				174,				14
198,				54,				172,				9
202,				0,				170,				57
204,				58,				170,				21
206,				0,				169,				48
207,				56,				169,				20
210,				0,				169,				56
212,				0,				168,				36
215,				0,				168,				12
219,				2,				167,				52
222,				3,				167,				38
225,				0,				167,				32
228,				8,				167,				32
229,				59,				167,				33
233,				5,				167,				39
236,				0,				167,				46
238,				59,				168,				0
242,				0,				168,				19
245,				0,				168,				37
250,				0,				169,				16
254,				57,				170,				4
259,				59,				171,				2
